_id,Composition,Reference,Is_Amorphous?,Casting,Type,Size_Measure,Size1,Size2,Characterization,From,Tg_[K],Tl_[K],DOI,Dmax_[mm],Tx_[K],Tm_[K],Melting,Environment,Sigma_[Mpa],Zmax_[mm],E_[GPA],Possion's_Ratio,v,Rc_[K/s],Fracture_Strength_[MPa],G_[GPa],Density_[g/cm^3]
60490a203e6da430a7211ac5,Al10Ce45.5Co25La19.5,"Li, R., Pang, S., Ma, C., Zhang, T.: Acta Materialia. 55 (2007) 3719–3726.",AM,Melt Casting,Rod,,,,,Carter,416.0,778.0,10.1016/j.actamat.2007.02.026,9.0,436.0,675.0,,,,,,,,,,,
60490a203e6da430a7211ac6,Al10Ce4Cu86,"Inoue, A., Park, J., Nishiyama, N., Masumoto, T.: Mater. Trans. JIM 34 (1993) 82-84.",AC,Melt Spinning,Ribbon,Width X Thickness,1,0.02, SEM  TEM XRD,Carter,,,10.2320/matertrans1989.34.82,,,,Radio Frequency Melting,Ar-gas,,,,,,,,,
60490a203e6da430a7211ac7,Al10Ce52Co25La13,"Li, R., Pang, S., Ma, C., Zhang, T.: Acta Materialia. 55 (2007) 3719–3726.",AM,Melt Casting,Rod,,,,,Carter,414.0,770.0,10.1016/j.actamat.2007.02.026,6.0,432.0,676.0,,,,,,,,,,,
60490a203e6da430a7211ac8,Al10Ce57.6Cu22.4Fe10,"Bian, Z., Inoue, A.: Materials Transactions. 46 (2005) 2541–2544.",AM,Melt Casting,Rod,,,,,Carter,377.0,649.0,10.2320/matertrans.46.2541,10.0,465.0,615.0,,,,,,,,,,,
60490a203e6da430a7211ac9,Al10Ce57.6Cu22.4Zn10,"Bian, Z., Inoue, A.: Materials Transactions. 47 (2006) 2599–2602.",AM,Melt Casting,Rod,,,,,Carter,402.0,,10.2320/matertrans.47.2599,4.0,463.0,,,,,,,,,,,,
60490a203e6da430a7211aca,Al10Ce58.5Co25La6.5,"Li, R., Pang, S., Ma, C., Zhang, T.: Acta Materialia. 55 (2007) 3719–3726.",AM,Melt Casting,Rod,,,,,Carter,408.0,764.0,10.1016/j.actamat.2007.02.026,4.0,426.0,677.0,,,,,,,,,,,
60490a203e6da430a7211acb,Al10Ce59.4Cu23.1Fe7.5,"Bian, Z., Inoue, A.: Materials Transactions. 46 (2005) 2541–2544.",AM,Melt Casting,Rod,,,,,Carter,369.0,650.0,10.2320/matertrans.46.2541,8.0,452.0,620.0,,,,,,,,,,,
60490a203e6da430a7211acc,Al10Ce59.4Cu23.1Zn7.5,"Bian, Z., Inoue, A.: Materials Transactions. 47 (2006) 2599–2602.",AM,Melt Casting,Rod,,,,,Carter,394.0,697.0,10.2320/matertrans.47.2599,6.0,467.0,676.0,,,,,,,,,,,
60490a203e6da430a7211acd,Al10Ce6.5Co25La58.5,"Li, R., Pang, S., Ma, C., Zhang, T.: Acta Materialia. 55 (2007) 3719–3726.",AM,Melt Casting,Rod,,,,,Carter,,937.0,10.1016/j.actamat.2007.02.026,6.0,474.0,694.0,,,,,,,,,,,
60490a203e6da430a7211ace,Al10Ce60Cu20Ni10,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,374.0,672.0,10.1016/j.actamat.2006.02.044,1.0,441.0,645.0,,,,,,,,,,,
